store_id,store_no,store_name_hrv,store_acronym,store_name,wholesale,warehouse,store_group,store_format,store_level,store_segment,opening_date,closed_date,status,phone,mail,store_asm,store_manager,store_area,number_of_staff,address1,address2,ward,district,province,country,channel
1,0120534503,NULL,NULL,SỈ LAI,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BD
2,0120534504,NULL,NULL,CUSTOMIZE LAI,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BD
3,0120534505,NULL,NULL,SỈ PHÚC,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BD
4,0120534506,NULL,NULL,CUSTOMIZE PHÚC,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BD
6,0120534508,NULL,NULL,CUSTOMIZE PHÁT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BD
7,VN02379418102,NULL,NULL,FACEBOOK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
8,VN02379418103,NULL,NULL,ZALO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
9,VN02379418104,NULL,NULL,INSTAGRAM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
10,VN02379418105,NULL,NULL,APP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
11,VN02379418106,NULL,NULL,WEB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
12,VN02379418107,NULL,NULL,ECOMOBI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
13,VN02379418108,NULL,NULL,ACCESSTRADE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
14,VN02379418109,NULL,NULL,MASOFFER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
15,VN02379418110,NULL,NULL,LAZADA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
16,VN02379418111,NULL,NULL,SHOPEE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
17,VN02379418112,NULL,NULL,SENDO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
18,VN02379418113,NULL,NULL,AEON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
19,VN03379418116,NULL,NULL,TIKI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online
295646,VN02379317052,KHO TRUNG TÂM,NULL,KHO TRUNG TÂM,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,02873066562,duckhanh@coupletx.com,NULL,NULL,NULL,NULL,"25 Lô 3, Đường 19/5A, KCN Tân Bình",Quận Tân Bình,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,Vietnam,Warehouse
307222,VN02379111001,HAI BÀ TRƯNG,HBT,HAI BÀ TRƯNG,NULL,NULL,Trực thuộc,Phố,A,Mainstream,2011-01-11,NULL,Active,028 6657 6246,hcm.haibatrung@coupletx.com,Mr. NAM,VŨ ANH THÚY MỸ,112,6,289 Hai Bà Trưng,NULL,Phường 08,Quận 3,Hồ Chí Minh,Vietnam,Retail
307244,VN02379113003,CỘNG HÒA,CH,CỘNG HÒA,NULL,NULL,Trực thuộc,Phố,A,Mainstream,2013-04-25,NULL,Active,028 6292 5600,hcm.conghoa@coupletx.com,Mr. NAM,VÕ PHÚ LAN LINH,170,5,"424 Cộng Hòa, Phường 13",NULL,Phường 13,Quận Tân Bình,Hồ Chí Minh,Vietnam,Retail
307248,VN02379113005,HÓC MÔN,HM,HÓC MÔN,NULL,NULL,Trực thuộc,Phố,B,Mass,2013-11-07,NULL,Active,028 6652 6566,hcm.nguyenanhthu@coupleTX.com,Mr. NAM,NGUYỄN THỊ DUNG,78,4,"10/1 Nguyễn Ảnh Thủ, Xã Trung Chánh",NULL,Xã Trung Chánh,Huyện Hóc Môn,Hồ Chí Minh,Vietnam,Retail
320264,VN02379113004,CÁCH MẠNG THÁNG TÁM,CMT8,CÁCH MẠNG THÁNG TÁM,NULL,NULL,Trực thuộc,Phố,B,Mass,2013-10-01,NULL,Active,028 7300 2515,hcm.cmt8@coupletx.com,Mr. NAM,NGÔ NGỌC LÀI,120,5,785 - 785A Cách Mạng Tháng 8,NULL,Phường 15,Quận Tân Bình,Hồ Chí Minh,Vietnam,Retail
328165,VN02379219043,AEON TÂN PHÚ,AEON TP,AEON TÂN PHÚ,NULL,NULL,Trực thuộc,Mall,A++,Flagship,2019-04-25,NULL,Active,1800 6516 - 204,hcm.aeontp@coupletx.com,Mr. SANG,NGUYỄN KHÁNH DUNG,380,14,"F1-2, Aeon Mall Tân Phú, 30 Bờ bao Tân Thắng, Phường Sơn Kỳ",NULL,Phường Sơn Kỳ,Quận Tân Phú,Hồ Chí Minh,Vietnam,Retail
348984,VN02379518114,KHO ĐI ĐƯỜNG,NULL,KHO ĐI ĐƯỜNG,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,000000000,NULL,NULL,NULL,NULL,NULL,20 Cộng hòa,NULL,Phường 12,Quận Tân Bình,Hồ Chí Minh,Vietnam,Warehouse
349920,VN02379216013,AEON BÌNH TÂN,AEON BT,AEON BÌNH TÂN,NULL,NULL,Trực thuộc,Mall,A,Mainstream,2016-07-01,NULL,Active,028 3620 6040,hcm.aeonbt@coupletx.com,Mr. NAM,NGUYỄN THỊ MỸ NỮ,90,6,"F24, Aeon Bình Tân, Số 1 đường 17A, Phường Bình Trị Đông B",NULL,Phường Bình Trị Đông B,Quận Bình Tân,Hồ Chí Minh,Vietnam,Retail
349924,VN02379118028,LŨY BÁN BÍCH,LBB,LŨY BÁN BÍCH,NULL,NULL,Trực thuộc,Phố,A,Mainstream,2018-05-05,NULL,Active,028 6670 9899,lbb.store@coupletx.com,Mr. SANG,TRỊNH CHIÊU PHA,165,5,592 Lũy Bán Bích,NULL,Phường Hòa Thạnh,Quận Tân Phú,Hồ Chí Minh,Vietnam,Retail
349930,VN02379118079,NGUYỄN TRÃI 2 (CLOSED),NULL,NGUYỄN TRÃI 2 (CLOSED),NULL,NULL,Trực thuộc,Phố,NULL,NULL,NULL,NULL,Inactive,02862610400,nt2.store@coupletx.com,NULL,NULL,NULL,NULL,"197 Nguyễn Trãi, Phường 2",NULL,NULL,Quận 5,Hồ Chí Minh,Vietnam,Retail
349932,VN02379118080,NGUYỄN TRÃI 3 (CLOSED),NULL,NGUYỄN TRÃI 3 (CLOSED),NULL,NULL,Trực thuộc,Phố,NULL,NULL,NULL,NULL,Inactive,02839240332,nt3.store@coupletx.com,NULL,NULL,NULL,NULL,"128 Nguyễn Trãi, Phường 3",NULL,NULL,Quận 5,Hồ Chí Minh,Vietnam,Retail
349938,VN02379118081,NGUYỄN TRÃI 1 (CLOSED),NULL,NGUYỄN TRÃI 1 (CLOSED),NULL,NULL,Trực thuộc,Phố,NULL,NULL,NULL,NULL,Inactive,02862610400,nt1.store@coupletx.com,NULL,NULL,NULL,NULL,"423 Nguyễn Trãi, Phường 7",NULL,NULL,Quận 5,Hồ Chí Minh,Vietnam,Retail
349952,VN02379116014,HẬU GIANG,HG,HẬU GIANG,NULL,NULL,Trực thuộc,Phố,B,Mass,2016-10-11,NULL,Active,028 3960 2234,hcm.haugiang@coupletx.com,Mr. NAM,HỒ NGỌC THỦY,110,4,"194 Hậu Giang, Phường 6",NULL,Phường 06,Quận 6,Hồ Chí Minh,Vietnam,Retail
349954,VN02379218082,LOTTE Q7 (CLOSED),NULL,LOTTE Q7 (CLOSED),NULL,NULL,Trực thuộc,Mall,NULL,NULL,NULL,NULL,Inactive,02836201479,lotteq7.store@coupletx.com,NULL,NULL,NULL,NULL,"1F16 Lotte Mart, 469 Nguyễn Hữu Thọ, Phường Tân Hưng",NULL,NULL,Quận 7,Hồ Chí Minh,Vietnam,Retail
349958,VN02379117015,NGUYỄN THỊ THẬP,NTT,NGUYỄN THỊ THẬP,NULL,NULL,Trực thuộc,Phố,A,Mainstream,2017-03-31,NULL,Active,028 3620 8139,hcm.nguyenthithap@coupletx.com,Mr. NAM,THÁI MỸ KIM,136,6,"603 Nguyễn Thị Thập, Phường Tân Phong",NULL,Phường Tân Phong,Quận 7,Hồ Chí Minh,Vietnam,Retail
349962,VN02379216011,VINCOM Q9,VC LVV,VINCOM Q9,NULL,NULL,Trực thuộc,Mall,C,Mass,2016-03-26,NULL,Active,028 3720 4569,hcm.vincomq9@coupletx.com,Mr. SANG,NGUYỄN THẢO NHI (CHP),90,4,"L2-02 Vincom, Số 50 Lê Văn Việt, Phường Hiệp Phú",NULL,Phường Hiệp Phú,Quận 9,Hồ Chí Minh,Vietnam,Retail
349970,VN02379118083,QUANG TRUNG 1 (CLOSED),NULL,QUANG TRUNG 1 (CLOSED),NULL,NULL,Trực thuộc,Phố,NULL,NULL,NULL,NULL,Inactive,02862572820,gv1.store@coupletx.com,NULL,NULL,NULL,NULL,"318 Quang Trung, Phường 10",NULL,NULL,Quận Gò Vấp,Hồ Chí Minh,Vietnam,Retail
349972,VN02379114007,QUANG TRUNG 2,QT2,QUANG TRUNG 2,NULL,NULL,Trực thuộc,Phố,B,Mainstream,2014-05-01,NULL,Active,028 6660 9399,hcm.quangtrung2@coupletx.com,Mr. NAM,TRẦN THỊ KIM NGÂN,120,5,"437 Quang Trung, Phường 10",NULL,Phường 10,Quận Gò Vấp,Hồ Chí Minh,Vietnam,Retail
349978,VN02379116012,XÔ VIẾT NGHỆ TĨNH,XVNT,XÔ VIẾT NGHỆ TĨNH,NULL,NULL,Trực thuộc,Phố,C,Mass,2016-05-30,NULL,Active,028 6294 9921,hcm.xvnt@coupletx.com,Mr. NAM,NGUYỄN THỊ THANH THỦY (CHP),56,4,243 Xô Viết Nghệ Tĩnh,NULL,Phường 17,Quận Bình Thạnh,Hồ Chí Minh,Vietnam,Retail
349980,VN02379112002,VÕ VĂN NGÂN,VVN,VÕ VĂN NGÂN,NULL,NULL,Trực thuộc,Phố,A,Mainstream,2012-08-22,NULL,Active,028 6283 8362,hcm.vovanngan@coupletx.com,Mr. SANG,NGUYỄN THỊ HUYỀN THINH,120,6,134-136 Võ Văn Ngân,NULL,Phường Bình Thọ,Quận Thủ Đức,Hồ Chí Minh,Vietnam,Retail
349986,VN02379118084,KHÁNH HỘI (CLOSED),NULL,KHÁNH HỘI (CLOSED),NULL,NULL,Trực thuộc,Phố,NULL,NULL,NULL,NULL,Inactive,02836208173,khanhhoi.store@coupletx.com,NULL,NULL,NULL,NULL,"199 Khánh Hội, Phường 3",NULL,NULL,Quận 4,Hồ Chí Minh,Vietnam,Retail
349988,VN02101218085,VINCOM PHẠM NGỌC THẠCH (CLOSED),NULL,VINCOM PHẠM NGỌC THẠCH (CLOSED),NULL,NULL,Trực thuộc,Mall,NULL,NULL,NULL,NULL,Inactive,02436374379,vcpnt.store@coupletx.com,NULL,NULL,NULL,NULL,"L3-15 Vincom, Số 2 Phạm Ngọc Thạch",Quận Tân Bình,NULL,Quận Đống Đa,Hà Nội,Vietnam,Retail
349996,VN02101218086,LOTTE ĐÀO TẤN (CLOSED),NULL,LOTTE ĐÀO TẤN (CLOSED),NULL,NULL,Trực thuộc,Mall,NULL,NULL,NULL,NULL,Inactive,02463294277,lottedaotan.store@coupletx.com,NULL,NULL,NULL,NULL,"54 Liễu Giai, Cống Vị",Quận Tân Bình,NULL,Quận Ba Đình,Hà Nội,Vietnam,Retail
349998,VN02375118027,BIÊN HÒA,BH,BIÊN HÒA,NULL,NULL,Nhượng quyền,Phố,B,Mainstream,2018-04-24,NULL,Active,0251 3822 925,bienhoa.phamvanthuan@coupletx.com,Mr. LIÊM,NGUYỄN THỊ NGỌC DIỄM,90,4,264 Phạm Văn Thuận,Quận Tân Bình,Phường Thống Nhất,Thành phố Biên Hòa,Đồng Nai,Vietnam,Retail
