,store_id,store_no,store_name_hrv,store_acronym,store_name,wholesale,warehouse,store_group,store_format,store_level,store_segment,opening_date,closed_date,status,phone,mail,store_asm,store_manager,store_area,number_of_staff,address1,address2,ward,district,province,country,channel
19,307222,VN02379111001,HAI BÀ TRƯNG,HBT,HAI BÀ TRƯNG,,,Trực thuộc,Phố,A,Mainstream,2011-01-11,,Active,028 6657 6246,hcm.haibatrung@coupletx.com,Mr. NAM,VŨ ANH THÚY MỸ,112.0,6.0,289 Hai Bà Trưng,,Phường 08,Quận 3,Hồ Chí Minh,Vietnam,Retail
106,730553,VN02379220050,VINCOM Q2,,VINCOM Q2,,,Trực thuộc,Mall,A,Mainstream,30/05/20,,Active,0000000000,hcm.vincomq2@coupletx.com,Mr. SANG,,,5.0,Vincom Thảo Điền,,Phường Thảo Điền,Quận 2,Hồ Chí Minh,Vietnam,Retail
88,566790,VN02379219041,GIGAMALL PVĐ,GIGA,GIGAMALL PVĐ,,,Trực thuộc,Mall,A,Flagship,2019-01-01,,Active,028 6650 9699,hcm.gigatd@coupletx.com,Mr. SANG,LÊ THỊ NHƯ Ý,180.0,6.0,240 Phạm Văn Đồng,,Phường Hiệp Bình Chánh,Quận Thủ Đức,Hồ Chí Minh,Vietnam,Retail
51,350060,VN02377114006,VŨNG TÀU,VT,VŨNG TÀU,,,Nhượng quyền,Phố,A,Mainstream,2014,,Active,0966 208 218,bacu.vungtau@coupletx.com,Ms. HIỆP,LÊ THỊ HIỆP ,160.0,4.0,"218 Ba Cu, Phường 3",Quận Tân Bình,Phường 3,Thành phố Vũng Tàu,Bà Rịa - Vũng Tàu,Vietnam,Retail
46,350040,VN02248218035,VINCOM ĐÀ NẴNG,VC ĐN,VINCOM ĐÀ NẴNG,,,Trực thuộc,Mall,A,Mainstream,2018-02-11,,Active,0236 3981 456,danang.vincomdn@gmail.com,Ms. CHO,ĐỖ KHÁNH HỘI,112.0,6.0,"L2-06 Vincom, 910A Ngô Quyền, Phường An Hải Bắc",Quận Tân Bình,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Vietnam,Retail
43,350018,VN02374214008,AEON BÌNH DƯƠNG,AEON BD,AEON BÌNH DƯƠNG,,,Trực thuộc,Mall,A,Mainstream,2014-11-01,,Active,0274 3769 816,hcm.aeonbd@coupletx.com,Mr. LIÊM,PHẠM THỊ THANH PHÙNG ,91.0,6.0,"Aeon Mall, Số 1 Đại Lộ Bình Dương",Quận Tân Bình,Phường Thuận Giao,Thành phố Thuận An,Bình Dương,Vietnam,Retail
37,349980,VN02379112002,VÕ VĂN NGÂN,VVN,VÕ VĂN NGÂN,,,Trực thuộc,Phố,A,Mainstream,2012-08-22,,Active,028 6283 8362,hcm.vovanngan@coupletx.com,Mr. SANG,NGUYỄN THỊ HUYỀN THINH,120.0,6.0,134-136 Võ Văn Ngân,,Phường Bình Thọ,Quận Thủ Đức,Hồ Chí Minh,Vietnam,Retail
32,349958,VN02379117015,NGUYỄN THỊ THẬP,NTT,NGUYỄN THỊ THẬP,,,Trực thuộc,Phố,A,Mainstream,2017-03-31,,Active,028 3620 8139,hcm.nguyenthithap@coupletx.com,Mr. NAM,THÁI MỸ KIM,136.0,6.0,"603 Nguyễn Thị Thập, Phường Tân Phong",,Phường Tân Phong,Quận 7,Hồ Chí Minh,Vietnam,Retail
117,1005758,VN02131220051,AEON HẢI PHÒNG,,AEON HẢI PHÒNG,,,Trực thuộc,Mall,A,Mainstream,14/12/20,,Active,,,Mr. PHÁT,,,,Số 10 Đường Võ Nguyên Giáp,,Phường Kênh Dương,Quận Lê Chân,Hải Phòng,Vietnam,Retail
20,307244,VN02379113003,CỘNG HÒA,CH,CỘNG HÒA,,,Trực thuộc,Phố,A,Mainstream,2013-04-25,,Active,028 6292 5600,hcm.conghoa@coupletx.com,Mr. NAM,VÕ PHÚ LAN LINH,170.0,5.0,"424 Cộng Hòa, Phường 13",,Phường 13,Quận Tân Bình,Hồ Chí Minh,Vietnam,Retail
26,349924,VN02379118028,LŨY BÁN BÍCH,LBB,LŨY BÁN BÍCH,,,Trực thuộc,Phố,A,Mainstream,2018-05-05,,Active,028 6670 9899,lbb.store@coupletx.com,Mr. SANG,TRỊNH CHIÊU PHA,165.0,5.0,592 Lũy Bán Bích,,Phường Hòa Thạnh,Quận Tân Phú,Hồ Chí Minh,Vietnam,Retail
25,349920,VN02379216013,AEON BÌNH TÂN,AEON BT,AEON BÌNH TÂN,,,Trực thuộc,Mall,A,Mainstream,2016-07-01,,Active,028 3620 6040,hcm.aeonbt@coupletx.com,Mr. NAM,NGUYỄN THỊ MỸ NỮ,90.0,6.0,"F24, Aeon Bình Tân, Số 1 đường 17A, Phường Bình Trị Đông B",,Phường Bình Trị Đông B,Quận Bình Tân,Hồ Chí Minh,Vietnam,Retail
83,528854,VN02379118034,NGUYỄN TRÃI FLAGSHIP,NTF,NGUYỄN TRÃI FLAGSHIP,,,Trực thuộc,Phố,A+,Flagship,2018-09-28,,Active,028 6651 9699,Hcm.nguyentrai@coupletx.com,Mr. NAM,LÝ KIỀU PHƯƠNG,160.0,6.0,185-187-189 Nguyễn Trãi,,Phường 02,Quận 5,Hồ Chí Minh,Vietnam,Retail
23,328165,VN02379219043,AEON TÂN PHÚ,AEON TP,AEON TÂN PHÚ,,,Trực thuộc,Mall,A++,Flagship,2019-04-25,,Active,1800 6516 - 204,hcm.aeontp@coupletx.com,Mr. SANG,NGUYỄN KHÁNH DUNG,380.0,14.0,"F1-2, Aeon Mall Tân Phú, 30 Bờ bao Tân Thắng, Phường Sơn Kỳ",,Phường Sơn Kỳ,Quận Tân Phú,Hồ Chí Minh,Vietnam,Retail
80,480733,VN02379118033,CỦ CHI,CC,CỦ CHI,,,Nhượng quyền,Phố,B,Mainstream,2018-07-07,,Active,028 6685 2986,hcm.cuchi@coupletx.com,Mr. SANG,LÊ QUỐC DŨNG,145.0,4.0,183 Tỉnh lộ 8,,Thị trấn Củ Chi,Huyện Củ Chi,Hồ Chí Minh,Vietnam,Retail
70,452387,VN02379118024,QUANG TRUNG 3,QT3,QUANG TRUNG 3,,,Trực thuộc,Phố,B,Mass,31/03/18,,Active,02866602710,quangtrung3.store@coupletx.com,Ms. YẾN,TRẦN THỊ TRÚC MY (CHP),159.0,5.0,150 Quang Trung,,Phường 10,Quận Gò Vấp,Hồ Chí Minh,Vietnam,Retail
22,320264,VN02379113004,CÁCH MẠNG THÁNG TÁM,CMT8,CÁCH MẠNG THÁNG TÁM,,,Trực thuộc,Phố,B,Mass,2013-10-01,,Active,028 7300 2515,hcm.cmt8@coupletx.com,Mr. NAM,NGÔ NGỌC LÀI,120.0,5.0,785 - 785A Cách Mạng Tháng 8,,Phường 15,Quận Tân Bình,Hồ Chí Minh,Vietnam,Retail
77,471477,VN02382118029,MỸ THO,MT-TG,MỸ THO,,,Nhượng quyền,Phố,B,Mass,2018-05-05,,Active,09 3333 4500,mytho.apbac@coupletx.com,Ms. HIỆP,NGUYỄN THỊ HIẾU THẢO,103.0,3.0,186 Ấp Bắc,,Phường 5,Thành phố Mỹ Tho,Tiền Giang,Vietnam,Retail
