,mae_IS,mae_OOS,mape_IS,mape_OOS,model,store_id,store_level
0,7.0,7.0,0.508,0.272,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",307248.0,B
1,7.0,8.0,0.592,0.351,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",320264.0,B
2,7.0,10.0,0.554,0.382,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",349952.0,B
3,8.0,10.0,0.539,0.33,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",349972.0,B
4,5.0,6.0,0.515,0.315,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",349998.0,B
5,5.0,9.0,0.507,0.343,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",350016.0,B
6,4.0,5.0,0.543,0.429,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",350026.0,B
7,6.0,8.0,0.517,0.283,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",350054.0,B
8,7.0,13.0,0.543,0.452,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",452387.0,B
9,4.0,6.0,0.506,0.392,"{'pvalues': intercept          8.615201e-01
FOURIER_S365-0     5.961583e-01
FOURIER_C365-0     7.181088e-01
FOURIER_S365-1     2.659256e-01
FOURIER_C365-1     9.558101e-01
ar.L1              0.000000e+00
ar.L2             4.024654e-151
ar.L3              5.395723e-08
ar.L4              3.680627e-08
ar.L5              3.981490e-11
ma.L1              0.000000e+00
ma.L2              0.000000e+00
ar.S.L7           8.493376e-120
ar.S.L14           6.072077e-72
sigma2             0.000000e+00
dtype: float64, 'resid': date
2017-08-17    32.200212
2017-08-18    31.762039
2017-08-19    32.522696
2017-08-20    20.457907
2017-08-21    20.900995
                ...    
2021-01-13    65.500743
2021-01-14    -8.947251
2021-01-15    -5.622386
2021-01-16    43.158871
2021-01-17    41.444880
Length: 1250, dtype: float64, 'order': (5, 0, 2), 'seasonal_order': (2, 1, 0, 7), 'oob': nan, 'aic': 14595.363238295009, 'aicc': 14595.752217225318, 'bic': 14672.24248466767, 'bse': intercept          2.303463
FOURIER_S365-0    61.405482
FOURIER_C365-0    51.783403
FOURIER_S365-1    24.705665
FOURIER_C365-1    34.134171
ar.L1              0.031564
ar.L2              0.059207
ar.L3              0.063548
ar.L4              0.050333
ar.L5              0.024288
ma.L1              0.023962
ma.L2              0.021916
ar.S.L7            0.019969
ar.S.L14           0.014616
sigma2            75.272091
dtype: float64, 'params': intercept            0.401815
FOURIER_S365-0      32.540796
FOURIER_C365-0     -18.693163
FOURIER_S365-1     -27.484914
FOURIER_C365-1      -1.891449
ar.L1                1.820477
ar.L2               -1.550287
ar.L3                0.345557
ar.L4                0.277111
ar.L5               -0.160416
ma.L1               -1.207247
ma.L2                0.957889
ar.S.L7             -0.464711
ar.S.L14            -0.262161
sigma2            6534.821067
dtype: float64}",471477.0,B
