,mae_IS,mae_OOS,mape_IS,mape_OOS,model,store_id
0,11.0,13.0,0.514,0.421," ARIMA(1,0,3)(2,1,0)[7] intercept",307222.0
1,9.0,6.0,0.549,0.32," ARIMA(1,0,3)(2,1,0)[7] intercept",307244.0
2,8.0,7.0,0.53,0.328," ARIMA(1,0,3)(2,1,0)[7] intercept",307248.0
3,7.0,11.0,0.571,0.592," ARIMA(1,0,3)(2,1,0)[7] intercept",320264.0
4,19.0,17.0,0.601,0.256," ARIMA(1,0,3)(2,1,0)[7] intercept",328165.0
5,12.0,10.0,0.524,0.255," ARIMA(1,0,3)(2,1,0)[7] intercept",349920.0
6,8.0,7.0,0.566,0.299," ARIMA(1,0,3)(2,1,0)[7] intercept",349924.0
7,8.0,9.0,0.552,0.342," ARIMA(1,0,3)(2,1,0)[7] intercept",349952.0
8,9.0,11.0,0.513,0.357," ARIMA(1,0,3)(2,1,0)[7] intercept",349958.0
9,6.0,5.0,0.601,0.359," ARIMA(1,0,3)(2,1,0)[7] intercept",349962.0
10,8.0,10.0,0.543,0.323," ARIMA(1,0,3)(2,1,0)[7] intercept",349972.0
11,6.0,4.0,0.534,0.409," ARIMA(1,0,3)(2,1,0)[7] intercept",349978.0
12,9.0,13.0,0.525,0.398," ARIMA(1,0,3)(2,1,0)[7] intercept",349980.0
13,5.0,6.0,0.513,0.313," ARIMA(1,0,3)(2,1,0)[7] intercept",349998.0
14,5.0,7.0,0.51,0.274," ARIMA(1,0,3)(2,1,0)[7] intercept",350016.0
15,11.0,12.0,0.487,0.189," ARIMA(1,0,3)(2,1,0)[7] intercept",350018.0
16,4.0,6.0,0.542,0.529," ARIMA(1,0,3)(2,1,0)[7] intercept",350026.0
17,4.0,4.0,0.523,0.361," ARIMA(1,0,3)(2,1,0)[7] intercept",350028.0
18,7.0,8.0,0.55,0.492," ARIMA(1,0,3)(2,1,0)[7] intercept",350040.0
19,4.0,2.0,0.593,0.216," ARIMA(1,0,3)(2,1,0)[7] intercept",350046.0
20,6.0,8.0,0.517,0.283," ARIMA(1,0,3)(2,1,0)[7] intercept",350054.0
21,3.0,4.0,0.64,0.387," ARIMA(1,0,3)(2,1,0)[7] intercept",350056.0
22,7.0,6.0,0.439,0.209," ARIMA(1,0,3)(2,1,0)[7] intercept",350060.0
23,3.0,4.0,0.673,0.528," ARIMA(1,0,3)(2,1,0)[7] intercept",354468.0
24,4.0,4.0,0.525,0.392," ARIMA(1,0,3)(2,1,0)[7] intercept",387240.0
25,3.0,4.0,0.6,0.381," ARIMA(1,0,3)(2,1,0)[7] intercept",412585.0
26,5.0,4.0,0.563,0.334," ARIMA(1,0,3)(2,1,0)[7] intercept",441997.0
27,7.0,14.0,0.554,0.559," ARIMA(1,0,3)(2,1,0)[7] intercept",452387.0
28,5.0,6.0,0.562,0.404," ARIMA(1,0,3)(2,1,0)[7] intercept",461349.0
29,4.0,3.0,0.665,0.47," ARIMA(1,0,3)(2,1,0)[7] intercept",464495.0
30,5.0,6.0,0.503,0.367," ARIMA(1,0,3)(2,1,0)[7] intercept",471477.0
31,4.0,3.0,0.621,0.706," ARIMA(1,0,3)(2,1,0)[7] intercept",476061.0
32,8.0,10.0,0.473,0.366," ARIMA(1,0,3)(2,1,0)[7] intercept",480733.0
33,12.0,12.0,0.477,0.281," ARIMA(1,0,3)(2,1,0)[7] intercept",528854.0
34,4.0,2.0,0.605,0.236," ARIMA(1,0,3)(2,1,0)[7] intercept",536898.0
35,4.0,4.0,0.645,0.349," ARIMA(1,0,3)(2,1,0)[7] intercept",536902.0
36,13.0,13.0,0.563,0.565," ARIMA(1,0,3)(2,1,0)[7] intercept",566790.0
37,4.0,4.0,0.676,0.57," ARIMA(1,0,3)(2,1,0)[7] intercept",566792.0
