,mae_IS,mae_OOS,mape_IS,mape_OOS,store_id
0,7.0,8.0,0.424,0.327,307222.0
1,6.0,4.0,0.42,0.245,307244.0
2,5.0,4.0,0.418,0.167,307248.0
3,5.0,6.0,0.473,0.365,320264.0
4,14.0,18.0,0.506,0.226,328165.0
5,9.0,8.0,0.46,0.186,349920.0
6,5.0,6.0,0.466,0.229,349924.0
7,6.0,5.0,0.466,0.203,349952.0
8,7.0,6.0,0.431,0.155,349958.0
9,5.0,4.0,0.501,0.237,349962.0
10,6.0,5.0,0.449,0.211,349972.0
11,4.0,3.0,0.446,0.316,349978.0
12,7.0,5.0,0.431,0.146,349980.0
13,4.0,4.0,0.439,0.228,349998.0
14,4.0,6.0,0.416,0.207,350016.0
15,9.0,20.0,0.413,0.262,350018.0
16,3.0,4.0,0.45,0.299,350026.0
17,3.0,3.0,0.436,0.293,350028.0
18,6.0,9.0,0.499,0.48,350040.0
19,3.0,2.0,0.502,0.191,350046.0
20,5.0,6.0,0.46,0.257,350054.0
21,2.0,3.0,0.523,0.279,350056.0
22,5.0,5.0,0.34,0.16,350060.0
23,2.0,2.0,0.593,0.337,354468.0
24,3.0,4.0,0.449,0.358,387240.0
25,3.0,5.0,0.507,0.448,412585.0
26,3.0,3.0,0.457,0.231,441997.0
27,5.0,5.0,0.462,0.192,452387.0
28,4.0,4.0,0.476,0.287,461349.0
29,3.0,3.0,0.56,0.382,464495.0
30,3.0,4.0,0.409,0.251,471477.0
31,3.0,2.0,0.538,0.518,476061.0
32,6.0,8.0,0.401,0.278,480733.0
33,8.0,7.0,0.378,0.17,528854.0
34,3.0,2.0,0.489,0.173,536898.0
35,3.0,4.0,0.531,0.306,536902.0
36,9.0,16.0,0.451,0.378,566790.0
37,4.0,4.0,0.633,0.574,566792.0
