,mae_IS,mae_OOS,mape_IS,mape_OOS,model
0,10.0,8.0,0.502,0.249,store_307222
1,9.0,6.0,0.52,0.308,store_307244
2,7.0,7.0,0.509,0.318,store_307248
3,7.0,8.0,0.57,0.503,store_320264
4,18.0,33.0,0.605,0.399,store_328165
5,12.0,21.0,0.529,0.363,store_349920
6,7.0,8.0,0.571,0.326,store_349924
7,7.0,8.0,0.54,0.312,store_349952
8,9.0,10.0,0.507,0.328,store_349958
9,6.0,4.0,0.592,0.294,store_349962
10,8.0,9.0,0.546,0.308,store_349972
11,6.0,6.0,0.533,0.516,store_349978
12,9.0,9.0,0.518,0.297,store_349980
13,5.0,5.0,0.509,0.324,store_349998
14,5.0,8.0,0.507,0.29,store_350016
15,11.0,20.0,0.492,0.286,store_350018
16,4.0,4.0,0.548,0.326,store_350026
17,4.0,4.0,0.528,0.365,store_350028
18,7.0,9.0,0.551,0.46,store_350040
19,4.0,3.0,0.591,0.351,store_350046
20,6.0,9.0,0.517,0.347,store_350054
21,3.0,3.0,0.642,0.423,store_350056
22,7.0,9.0,0.44,0.298,store_350060
23,3.0,4.0,0.668,0.609,store_354468
24,4.0,4.0,0.525,0.411,store_387240
25,3.0,4.0,0.595,0.44,store_412585
26,5.0,4.0,0.57,0.318,store_441997
27,7.0,8.0,0.546,0.311,store_452387
28,5.0,4.0,0.568,0.34,store_461349
29,4.0,4.0,0.667,0.42,store_464495
30,4.0,5.0,0.509,0.404,store_471477
31,4.0,3.0,0.635,0.842,store_476061
32,8.0,9.0,0.48,0.362,store_480733
33,12.0,10.0,0.474,0.243,store_528854
34,4.0,3.0,0.604,0.289,store_536898
35,4.0,5.0,0.64,0.465,store_536902
36,13.0,17.0,0.552,0.389,store_566790
37,4.0,6.0,0.674,0.618,store_566792
