,mae_IS,mae_OOS,mape_IS,mape_OOS,model
0,10.0,8.0,0.475,0.294,store_307222
1,9.0,6.0,0.485,0.294,store_307244
2,7.0,5.0,0.465,0.232,store_307248
3,7.0,5.0,0.535,0.301,store_320264
4,20.0,31.0,0.601,0.397,store_328165
5,12.0,15.0,0.513,0.292,store_349920
6,7.0,9.0,0.531,0.405,store_349924
7,7.0,6.0,0.504,0.238,store_349952
8,9.0,9.0,0.458,0.284,store_349958
9,6.0,7.0,0.529,0.554,store_349962
10,8.0,9.0,0.494,0.32,store_349972
11,5.0,4.0,0.455,0.406,store_349978
12,9.0,9.0,0.484,0.306,store_349980
13,5.0,5.0,0.45,0.341,store_349998
14,4.0,8.0,0.442,0.313,store_350016
15,12.0,23.0,0.497,0.295,store_350018
16,4.0,4.0,0.474,0.306,store_350026
17,4.0,3.0,0.464,0.333,store_350028
18,7.0,6.0,0.533,0.336,store_350040
19,4.0,3.0,0.53,0.303,store_350046
20,5.0,6.0,0.458,0.255,store_350054
21,3.0,3.0,0.53,0.389,store_350056
22,6.0,7.0,0.38,0.222,store_350060
23,3.0,3.0,0.568,0.487,store_354468
24,4.0,5.0,0.464,0.422,store_387240
25,3.0,5.0,0.521,0.488,store_412585
26,4.0,4.0,0.479,0.405,store_441997
27,7.0,10.0,0.483,0.447,store_452387
28,4.0,4.0,0.505,0.406,store_461349
29,3.0,3.0,0.559,0.427,store_464495
30,4.0,4.0,0.425,0.271,store_471477
31,3.0,3.0,0.532,0.677,store_476061
32,7.0,7.0,0.409,0.297,store_480733
33,11.0,12.0,0.41,0.28,store_528854
34,4.0,3.0,0.517,0.338,store_536898
35,4.0,4.0,0.558,0.318,store_536902
36,12.0,15.0,0.532,0.334,store_566790
37,4.0,4.0,0.571,0.543,store_566792
