,mae_IS,mae_OOS,mape_IS,mape_OOS,model
0,10.0,8.0,0.502,0.249,store_307222
1,9.0,6.0,0.52,0.308,store_307244
2,18.0,33.0,0.605,0.399,store_328165
3,12.0,21.0,0.529,0.363,store_349920
4,7.0,8.0,0.571,0.326,store_349924
5,9.0,10.0,0.507,0.328,store_349958
6,9.0,9.0,0.518,0.297,store_349980
7,11.0,20.0,0.492,0.286,store_350018
8,7.0,9.0,0.551,0.46,store_350040
9,7.0,9.0,0.44,0.298,store_350060
10,12.0,10.0,0.474,0.243,store_528854
11,13.0,17.0,0.552,0.389,store_566790
12,7.0,7.0,0.509,0.318,store_307248
13,7.0,8.0,0.57,0.503,store_320264
14,7.0,8.0,0.54,0.312,store_349952
15,8.0,9.0,0.546,0.308,store_349972
16,5.0,5.0,0.509,0.324,store_349998
17,5.0,8.0,0.507,0.29,store_350016
18,4.0,4.0,0.548,0.326,store_350026
19,6.0,9.0,0.517,0.347,store_350054
20,7.0,8.0,0.546,0.311,store_452387
21,4.0,5.0,0.509,0.404,store_471477
22,8.0,9.0,0.48,0.362,store_480733
23,6.0,4.0,0.583,0.309,store_349962
24,6.0,6.0,0.533,0.524,store_349978
25,4.0,4.0,0.528,0.364,store_350028
26,4.0,3.0,0.591,0.352,store_350046
27,3.0,3.0,0.642,0.424,store_350056
28,3.0,4.0,0.671,0.607,store_354468
29,4.0,4.0,0.524,0.414,store_387240
30,3.0,4.0,0.594,0.44,store_412585
31,5.0,4.0,0.569,0.317,store_441997
32,5.0,4.0,0.572,0.333,store_461349
33,4.0,3.0,0.665,0.414,store_464495
34,4.0,3.0,0.633,0.812,store_476061
35,4.0,3.0,0.605,0.287,store_536898
36,4.0,5.0,0.641,0.458,store_536902
37,4.0,6.0,0.675,0.628,store_566792
