,RW_mae_OOS,RW_mape_OOS,arima_mae_IS,arima_mae_OOS,arima_mape_IS,arima_mape_OOS,fc_IS,fc_OOS,fc_RW,store_id
0,11.0,0.322,10.0,15.0,0.498,0.529,"date
2017-08-07    -4.676151
2017-08-08    -4.719214
2017-08-09    -4.763178
2017-08-10    -4.793419
2017-08-11    -4.835810
                ...    
2021-01-13    22.724512
2021-01-14    31.055547
2021-01-15    25.525049
2021-01-16    30.975074
2021-01-17    45.116089
Freq: D, Name: predicted_mean, Length: 1260, dtype: float64","date
2021-01-18     6.654101
2021-01-19    13.932389
2021-01-20    16.264816
2021-01-21    30.747474
2021-01-22    26.284558
2021-01-23    29.757206
2021-01-24    32.352195
2021-01-25     9.350883
2021-01-26    12.744026
2021-01-27    15.403082
2021-01-28    29.037195
2021-01-29    23.038084
2021-01-30    27.635759
2021-01-31    30.472878
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    26.073581
2021-01-19    26.073581
2021-01-20    26.073581
2021-01-21    26.073581
2021-01-22    26.073581
2021-01-23    26.073581
2021-01-24    26.073581
2021-01-25    26.073581
2021-01-26    26.073581
2021-01-27    26.073581
2021-01-28    26.073581
2021-01-29    26.073581
2021-01-30    26.073581
2021-01-31    26.073581
Freq: D, Name: RW_forecast, dtype: float64",307222.0
1,13.0,0.555,9.0,6.0,0.512,0.316,"date
2017-08-10    -3.776099
2017-08-11    -3.778395
2017-08-12    -3.781094
2017-08-13    -3.783040
2017-08-14    -3.783903
                ...    
2021-01-13    18.572749
2021-01-14    26.315021
2021-01-15    21.509705
2021-01-16    29.118704
2021-01-17    30.758420
Freq: D, Name: predicted_mean, Length: 1257, dtype: float64","date
2021-01-18     8.952438
2021-01-19    14.145291
2021-01-20    25.857106
2021-01-21    19.625883
2021-01-22    18.015050
2021-01-23    25.620190
2021-01-24    24.981009
2021-01-25     7.744694
2021-01-26    13.266309
2021-01-27    21.426731
2021-01-28    20.122490
2021-01-29    16.364981
2021-01-30    24.711644
2021-01-31    27.916541
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    30.4334
2021-01-19    30.4334
2021-01-20    30.4334
2021-01-21    30.4334
2021-01-22    30.4334
2021-01-23    30.4334
2021-01-24    30.4334
2021-01-25    30.4334
2021-01-26    30.4334
2021-01-27    30.4334
2021-01-28    30.4334
2021-01-29    30.4334
2021-01-30    30.4334
2021-01-31    30.4334
Freq: D, Name: RW_forecast, dtype: float64",307244.0
2,104.0,0.9,19.0,16.0,0.597,0.252,"date
2017-08-09     -7.840787
2017-08-10     -8.123850
2017-08-11     -8.413609
2017-08-12     -8.693329
2017-08-13     -8.918550
                 ...    
2021-01-13     40.592236
2021-01-14     56.552433
2021-01-15    106.198172
2021-01-16     86.782251
2021-01-17    168.581630
Freq: D, Name: predicted_mean, Length: 1258, dtype: float64","date
2021-01-18     44.851740
2021-01-19     50.897047
2021-01-20     49.263976
2021-01-21     57.267397
2021-01-22    102.970368
2021-01-23    121.431872
2021-01-24    159.758483
2021-01-25     30.317353
2021-01-26     37.999055
2021-01-27     39.575385
2021-01-28     45.782053
2021-01-29     73.011537
2021-01-30    112.757877
2021-01-31    159.594431
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    177.126951
2021-01-19    177.126951
2021-01-20    177.126951
2021-01-21    177.126951
2021-01-22    177.126951
2021-01-23    177.126951
2021-01-24    177.126951
2021-01-25    177.126951
2021-01-26    177.126951
2021-01-27    177.126951
2021-01-28    177.126951
2021-01-29    177.126951
2021-01-30    177.126951
2021-01-31    177.126951
Freq: D, Name: RW_forecast, dtype: float64",328165.0
3,44.0,0.692,12.0,11.0,0.526,0.268,"date
2017-08-18     -5.774223
2017-08-19     -5.829665
2017-08-20     -5.882211
2017-08-21     -5.930913
2017-08-22     -5.975355
                 ...    
2021-01-13     29.418455
2021-01-14     39.062753
2021-01-15     67.849452
2021-01-16     44.892410
2021-01-17    107.325768
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18    18.505979
2021-01-19    22.318730
2021-01-20    26.779483
2021-01-21    36.416811
2021-01-22    58.354714
2021-01-23    70.207865
2021-01-24    86.948546
2021-01-25    17.862082
2021-01-26    20.351295
2021-01-27    24.095113
2021-01-28    34.695225
2021-01-29    42.573888
2021-01-30    65.524596
2021-01-31    88.356016
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    87.2592
2021-01-19    87.2592
2021-01-20    87.2592
2021-01-21    87.2592
2021-01-22    87.2592
2021-01-23    87.2592
2021-01-24    87.2592
2021-01-25    87.2592
2021-01-26    87.2592
2021-01-27    87.2592
2021-01-28    87.2592
2021-01-29    87.2592
2021-01-30    87.2592
2021-01-31    87.2592
Freq: D, Name: RW_forecast, dtype: float64",349920.0
4,29.0,0.805,8.0,7.0,0.562,0.269,"date
2017-08-17    -3.482936
2017-08-18    -3.519860
2017-08-19    -3.557673
2017-08-20    -3.593545
2017-08-21    -3.627447
                ...    
2021-01-13    17.639790
2021-01-14    27.821651
2021-01-15    14.144457
2021-01-16    37.798944
2021-01-17    37.299370
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    29.339020
2021-01-19    29.034817
2021-01-20    25.454696
2021-01-21    25.567834
2021-01-22    29.828040
2021-01-23    31.782165
2021-01-24    38.907007
2021-01-25    21.518223
2021-01-26    24.656734
2021-01-27    20.826972
2021-01-28    19.571799
2021-01-29    26.108285
2021-01-30    28.201630
2021-01-31    37.307923
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    51.9285
2021-01-19    51.9285
2021-01-20    51.9285
2021-01-21    51.9285
2021-01-22    51.9285
2021-01-23    51.9285
2021-01-24    51.9285
2021-01-25    51.9285
2021-01-26    51.9285
2021-01-27    51.9285
2021-01-28    51.9285
2021-01-29    51.9285
2021-01-30    51.9285
2021-01-31    51.9285
Freq: D, Name: RW_forecast, dtype: float64",349924.0
5,11.0,0.282,9.0,12.0,0.505,0.382,"date
2017-08-17    -3.581472
2017-08-18    -3.628339
2017-08-19    -3.676757
2017-08-20    -3.727468
2017-08-21    -3.779860
                ...    
2021-01-13    17.440269
2021-01-14    40.182772
2021-01-15    36.646453
2021-01-16    23.324764
2021-01-17    53.054653
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    16.667882
2021-01-19    16.651471
2021-01-20    30.256880
2021-01-21    30.408502
2021-01-22    25.655077
2021-01-23    30.319697
2021-01-24    39.466981
2021-01-25    16.310411
2021-01-26    15.331035
2021-01-27    25.844482
2021-01-28    25.804855
2021-01-29    21.471311
2021-01-30    28.018782
2021-01-31    42.248676
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    39.6078
2021-01-19    39.6078
2021-01-20    39.6078
2021-01-21    39.6078
2021-01-22    39.6078
2021-01-23    39.6078
2021-01-24    39.6078
2021-01-25    39.6078
2021-01-26    39.6078
2021-01-27    39.6078
2021-01-28    39.6078
2021-01-29    39.6078
2021-01-30    39.6078
2021-01-31    39.6078
Freq: D, Name: RW_forecast, dtype: float64",349958.0
6,13.0,0.353,9.0,12.0,0.51,0.355,"date
2017-08-18    -5.077508
2017-08-19    -5.100314
2017-08-20    -5.124506
2017-08-21    -5.146269
2017-08-22    -5.165488
                ...    
2021-01-13    30.336436
2021-01-14    40.219476
2021-01-15    17.983841
2021-01-16    32.338901
2021-01-17    49.298072
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18    18.594541
2021-01-19    19.441854
2021-01-20    26.373645
2021-01-21    24.596101
2021-01-22    27.762279
2021-01-23    30.328864
2021-01-24    41.796380
2021-01-25    17.100741
2021-01-26    19.414771
2021-01-27    26.227804
2021-01-28    22.253867
2021-01-29    24.929160
2021-01-30    28.726976
2021-01-31    41.586674
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    39.91881
2021-01-19    39.91881
2021-01-20    39.91881
2021-01-21    39.91881
2021-01-22    39.91881
2021-01-23    39.91881
2021-01-24    39.91881
2021-01-25    39.91881
2021-01-26    39.91881
2021-01-27    39.91881
2021-01-28    39.91881
2021-01-29    39.91881
2021-01-30    39.91881
2021-01-31    39.91881
Freq: D, Name: RW_forecast, dtype: float64",349980.0
7,106.0,0.968,12.0,11.0,0.486,0.174,"date
2017-08-17     -6.669784
2017-08-18     -6.746616
2017-08-19     -6.825384
2017-08-20     -6.905164
2017-08-21     -6.984228
                 ...    
2021-01-13     27.722690
2021-01-14     39.342091
2021-01-15     72.721354
2021-01-16     94.724885
2021-01-17    143.047176
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18     60.203445
2021-01-19     43.987110
2021-01-20     43.110894
2021-01-21     49.645216
2021-01-22     73.825184
2021-01-23    114.143358
2021-01-24    148.145680
2021-01-25     49.089300
2021-01-26     39.297804
2021-01-27     35.039079
2021-01-28     41.798609
2021-01-29     57.436241
2021-01-30    106.952629
2021-01-31    147.408640
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    170.9275
2021-01-19    170.9275
2021-01-20    170.9275
2021-01-21    170.9275
2021-01-22    170.9275
2021-01-23    170.9275
2021-01-24    170.9275
2021-01-25    170.9275
2021-01-26    170.9275
2021-01-27    170.9275
2021-01-28    170.9275
2021-01-29    170.9275
2021-01-30    170.9275
2021-01-31    170.9275
Freq: D, Name: RW_forecast, dtype: float64",350018.0
8,32.0,1.063,7.0,8.0,0.548,0.465,"date
2017-09-05    -4.216944
2017-09-06    -4.219990
2017-09-07    -4.219895
2017-09-08    -4.215961
2017-09-09    -4.207083
                ...    
2021-01-13    21.369272
2021-01-14    21.762347
2021-01-15    30.638871
2021-01-16    22.571226
2021-01-17    37.206902
Freq: D, Name: predicted_mean, Length: 1231, dtype: float64","date
2021-01-18    19.790758
2021-01-19    13.453647
2021-01-20    24.284621
2021-01-21    16.018258
2021-01-22    33.450236
2021-01-23    30.383902
2021-01-24    37.114958
2021-01-25    14.476908
2021-01-26     9.548542
2021-01-27    20.334629
2021-01-28    13.305080
2021-01-29    23.216451
2021-01-30    28.523445
2021-01-31    37.697029
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    48.3559
2021-01-19    48.3559
2021-01-20    48.3559
2021-01-21    48.3559
2021-01-22    48.3559
2021-01-23    48.3559
2021-01-24    48.3559
2021-01-25    48.3559
2021-01-26    48.3559
2021-01-27    48.3559
2021-01-28    48.3559
2021-01-29    48.3559
2021-01-30    48.3559
2021-01-31    48.3559
Freq: D, Name: RW_forecast, dtype: float64",350040.0
9,14.0,0.418,7.0,6.0,0.445,0.206,"date
2017-08-18    -3.176540
2017-08-19    -3.207114
2017-08-20    -3.237154
2017-08-21    -3.266696
2017-08-22    -3.294940
                ...    
2021-01-13    27.325154
2021-01-14    24.526001
2021-01-15    18.356065
2021-01-16    39.767027
2021-01-17    44.728693
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18    20.331064
2021-01-19    20.658990
2021-01-20    28.143525
2021-01-21    24.297409
2021-01-22    29.181060
2021-01-23    32.921740
2021-01-24    42.997067
2021-01-25    18.102714
2021-01-26    19.977610
2021-01-27    28.978638
2021-01-28    19.636725
2021-01-29    25.463260
2021-01-30    30.000014
2021-01-31    42.803996
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    40.61749
2021-01-19    40.61749
2021-01-20    40.61749
2021-01-21    40.61749
2021-01-22    40.61749
2021-01-23    40.61749
2021-01-24    40.61749
2021-01-25    40.61749
2021-01-26    40.61749
2021-01-27    40.61749
2021-01-28    40.61749
2021-01-29    40.61749
2021-01-30    40.61749
2021-01-31    40.61749
Freq: D, Name: RW_forecast, dtype: float64",350060.0
