,fb_fc,fb_mae_OOS,fb_mape_OOS,store_id
0,"0     22.714401
1     24.648125
2     22.089847
3     24.030716
4     39.541646
5     48.709140
6     50.522044
7     30.656331
8     31.871979
9     35.307433
10    36.499072
11    41.150118
12    47.834165
13    55.536167
Name: yhat, dtype: float64",6.0,0.2,307222.0
1,"0     18.975316
1     23.656290
2     17.701212
3     17.963853
4     27.268953
5     24.826293
6     32.029750
7     19.880928
8     24.695648
9     21.832070
10    19.913014
11    31.480557
12    28.264115
13    42.125628
Name: yhat, dtype: float64",6.0,0.307,307244.0
2,"0     14.799841
1     20.400474
2     19.309190
3     14.343909
4     21.239099
5     26.156823
6     32.182874
7     22.487768
8     21.935056
9     20.715220
10    22.319211
11    24.976240
12    28.316511
13    37.448736
Name: yhat, dtype: float64",3.0,0.125,307248.0
3,"0      9.895074
1     12.257862
2     11.844540
3     11.597206
4     29.470065
5     35.604027
6     44.750356
7     14.813314
8     15.838435
9     15.378889
10    20.391973
11    20.036467
12    29.319267
13    31.520777
Name: yhat, dtype: float64",3.0,0.159,320264.0
4,"0      44.329489
1      41.910800
2      49.504765
3      32.887845
4      62.786783
5      89.287013
6     127.493913
7      41.548363
8      50.625295
9      54.762756
10     41.701895
11     61.903787
12     80.383240
13    109.581278
Name: yhat, dtype: float64",17.0,0.176,328165.0
5,"0     27.262550
1     31.140819
2     33.865557
3     34.370192
4     46.068141
5     51.294571
6     68.206269
7     30.998468
8     34.449588
9     45.779130
10    33.154238
11    38.009371
12    49.900761
13    66.171396
Name: yhat, dtype: float64",11.0,0.181,349920.0
6,"0     18.744772
1     19.225666
2     18.562878
3     18.983226
4     29.553586
5     29.675848
6     39.671817
7     25.847211
8     27.735706
9     23.102679
10    26.453556
11    30.738430
12    28.406092
13    42.081329
Name: yhat, dtype: float64",5.0,0.204,349924.0
7,"0     19.733567
1     20.870564
2     18.792748
3     19.699659
4     31.716002
5     28.331918
6     32.001171
7     24.351293
8     34.125627
9     24.709633
10    26.213511
11    33.717875
12    32.307263
13    43.712401
Name: yhat, dtype: float64",5.0,0.19,349952.0
8,"0     21.883374
1     26.205271
2     30.974037
3     24.325328
4     36.253877
5     51.789321
6     53.373593
7     32.207521
8     36.557845
9     38.686521
10    34.654295
11    49.166369
12    52.272460
13    62.535462
Name: yhat, dtype: float64",5.0,0.132,349958.0
9,"0     11.340209
1      9.942768
2     10.285978
3     10.005320
4     11.888450
5     26.323488
6     24.957077
7     13.634097
8     13.251025
9     12.948871
10    12.868240
11    17.464153
12    19.525768
13    27.549854
Name: yhat, dtype: float64",3.0,0.154,349962.0
10,"0     15.217730
1     20.409703
2     15.806210
3     20.252628
4     25.548596
5     34.585615
6     38.397316
7     21.618359
8     24.568591
9     25.001587
10    23.107450
11    32.569773
12    36.815968
13    45.522843
Name: yhat, dtype: float64",8.0,0.253,349972.0
11,"0      5.815250
1      7.481357
2     10.097003
3      7.408389
4     14.232574
5     12.342506
6     13.369645
7     14.069058
8      8.903492
9      9.494995
10    13.037455
11    13.643660
12    14.477818
13    22.340537
Name: yhat, dtype: float64",2.0,0.152,349978.0
12,"0     22.221536
1     25.375848
2     22.133631
3     26.036047
4     36.380682
5     47.470676
6     50.291754
7     27.216406
8     31.855985
9     30.790701
10    30.559745
11    38.150254
12    38.766064
13    56.268549
Name: yhat, dtype: float64",6.0,0.17,349980.0
13,"0     14.091617
1     13.525555
2     14.760152
3     13.344377
4     28.420751
5     34.746243
6     30.326429
7     18.126647
8     17.413872
9     15.562528
10    15.464613
11    16.440092
12    21.146539
13    23.185120
Name: yhat, dtype: float64",5.0,0.304,349998.0
14,"0     19.439719
1     22.627062
2     23.728186
3     20.050638
4     28.844214
5     37.157474
6     38.516414
7     23.554508
8     29.186281
9     26.078163
10    26.190209
11    30.790668
12    30.924854
13    31.440716
Name: yhat, dtype: float64",4.0,0.179,350016.0
15,"0     28.570039
1     26.544573
2     30.072361
3     25.791831
4     49.519682
5     70.066158
6     91.743925
7     40.068197
8     37.146602
9     29.200666
10    39.112133
11    42.994812
12    58.748164
13    76.314919
Name: yhat, dtype: float64",20.0,0.294,350018.0
16,"0     12.759282
1     12.059284
2     12.978715
3     14.290543
4     15.891276
5     21.355441
6     19.953645
7     16.544045
8     15.725137
9     17.283155
10    14.749207
11    17.006135
12    23.134863
13    13.418917
Name: yhat, dtype: float64",2.0,0.156,350026.0
17,"0      9.843470
1      8.595271
2      9.352659
3     10.282377
4     14.612589
5     13.058837
6     14.104902
7     10.683037
8     13.535966
9     13.703281
10    12.692119
11    11.720757
12    16.884166
13    18.605511
Name: yhat, dtype: float64",3.0,0.299,350028.0
18,"0     10.527172
1     14.890023
2      9.175641
3     12.431833
4     20.178214
5     21.171015
6     26.151453
7     10.948520
8      8.553434
9     13.721591
10    10.249469
11    13.032387
12    20.510437
13    24.914292
Name: yhat, dtype: float64",3.0,0.199,350040.0
19,"0      7.260898
1      7.425565
2      7.275495
3      9.021183
4     10.245002
5     11.825914
6     10.227428
7      7.515888
8      7.052950
9     10.313182
10    12.121041
11     9.385064
12    14.392603
13    15.549455
Name: yhat, dtype: float64",1.0,0.155,350046.0
20,"0     25.615961
1     27.333283
2     31.328202
3     34.678843
4     33.351584
5     38.501212
6     52.113243
7     35.703024
8     33.069212
9     30.459808
10    32.526643
11    32.973620
12    34.639596
13    47.081133
Name: yhat, dtype: float64",11.0,0.417,350054.0
21,"0      7.027559
1      5.944580
2      6.506328
3      7.092143
4      9.224991
5      9.097599
6     11.598183
7     11.777811
8      7.451970
9      8.062776
10     8.696269
11     9.227770
12     8.042224
13    10.026049
Name: yhat, dtype: float64",2.0,0.248,350056.0
22,"0     26.260220
1     24.843658
2     23.902921
3     30.118201
4     33.359589
5     37.887152
6     40.901493
7     29.594212
8     30.232624
9     30.642973
10    27.762060
11    33.026264
12    36.778372
13    48.045427
Name: yhat, dtype: float64",6.0,0.186,350060.0
23,"0      8.065185
1      9.633128
2     11.697322
3      6.915333
4     10.240021
5      9.976129
6     20.638848
7      7.244068
8     11.612858
9      9.294588
10     7.325082
11     8.436441
12     8.122466
13    15.147267
Name: yhat, dtype: float64",3.0,0.373,354468.0
24,"0      8.685468
1      9.670562
2      9.278821
3      7.870924
4     11.822699
5     13.302162
6     18.385478
7     13.964417
8      8.453568
9     11.649025
10    10.944946
11    11.995295
12    12.728739
13    12.737490
Name: yhat, dtype: float64",3.0,0.31,387240.0
25,"0      8.844023
1     11.332436
2      9.593693
3     10.128322
4     11.414440
5     11.404279
6     14.639862
7     13.860448
8     11.408712
9      7.805664
10    10.162301
11    13.894125
12    12.054092
13    12.242276
Name: yhat, dtype: float64",3.0,0.347,412585.0
26,"0     12.536739
1     10.614899
2     10.448748
3     13.233896
4     16.005959
5     14.612980
6     20.922537
7     16.310430
8     11.918308
9      9.885371
10    13.219809
11    17.746653
12    13.870913
13    14.668749
Name: yhat, dtype: float64",3.0,0.218,441997.0
27,"0     22.334689
1     21.505044
2     27.226876
3     23.397102
4     28.783262
5     37.962166
6     49.593315
7     22.190832
8     26.500838
9     27.186979
10    29.295550
11    33.583991
12    40.897851
13    45.200616
Name: yhat, dtype: float64",6.0,0.192,452387.0
28,"0     12.497965
1     13.581789
2     13.333038
3     15.571998
4     23.237415
5     27.268808
6     26.479975
7     15.567714
8     15.182863
9     12.885984
10    13.638297
11    15.266001
12    14.398372
13    16.107677
Name: yhat, dtype: float64",7.0,0.556,461349.0
29,"0      9.846443
1      8.927475
2     10.179003
3     10.178076
4     13.242721
5     13.833344
6     13.972884
7     10.002046
8     11.485946
9      8.947024
10    11.365067
11     8.173445
12     9.956243
13    14.394596
Name: yhat, dtype: float64",4.0,0.534,464495.0
30,"0     15.216406
1     16.503773
2     19.144455
3     16.066673
4     18.195818
5     22.214753
6     23.668698
7     15.000429
8     14.843467
9     16.046878
10    16.565416
11    21.191343
12    22.705953
13    20.006128
Name: yhat, dtype: float64",3.0,0.208,471477.0
31,"0      6.690848
1      4.150202
2      5.567237
3      4.993736
4      6.897193
5      7.074580
6     11.363375
7      5.133581
8      5.812757
9      6.600159
10     7.301220
11     5.988886
12     8.050662
13     7.814889
Name: yhat, dtype: float64",2.0,0.546,476061.0
32,"0     29.989734
1     30.852405
2     31.372757
3     34.500817
4     37.848402
5     42.732698
6     49.676625
7     36.378088
8     42.635762
9     38.466947
10    49.270337
11    49.459055
12    48.099385
13    56.558008
Name: yhat, dtype: float64",13.0,0.411,480733.0
33,"0     43.908373
1     42.997883
2     48.671132
3     40.152517
4     58.161580
5     62.291084
6     86.727904
7     49.163464
8     50.085201
9     49.590681
10    64.378110
11    53.111585
12    61.024527
13    83.954885
Name: yhat, dtype: float64",13.0,0.288,528854.0
34,"0      9.634721
1      9.726174
2     10.298408
3      9.415648
4     12.227058
5     11.236128
6     14.588595
7     11.101939
8     11.701388
9     11.085973
10    13.560261
11    12.361105
12    14.741242
13    14.097603
Name: yhat, dtype: float64",2.0,0.219,536898.0
35,"0     13.174841
1     14.463444
2     13.964121
3     14.956017
4     16.664723
5     20.939905
6     26.226624
7     16.615561
8     16.940917
9     18.496466
10    17.769845
11    15.498358
12    16.553049
13    20.135804
Name: yhat, dtype: float64",5.0,0.353,536902.0
36,"0     30.115007
1     29.882327
2     32.693904
3     30.223023
4     40.729909
5     63.151697
6     82.564956
7     32.335709
8     32.073320
9     37.056197
10    35.252080
11    40.476558
12    63.506317
13    70.172940
Name: yhat, dtype: float64",12.0,0.333,566790.0
37,"0      7.268442
1      8.148898
2      8.466774
3      8.695107
4      7.965991
5     16.183515
6     17.684817
7      7.956525
8     10.315920
9      8.859685
10    10.524749
11    10.557678
12    14.330729
13    17.821548
Name: yhat, dtype: float64",5.0,0.717,566792.0
