,fb_fc,fb_mae_OOS,fb_mape_OOS,store_id
0,"0     29.378559
1     31.571692
2     33.190014
3     33.971116
4     43.134645
5     46.757491
6     49.024115
7     34.659146
8     36.902985
9     38.404841
10    38.896591
11    47.597303
12    50.588498
13    52.064395
Name: yhat, dtype: float64",10.0,0.291,307222.0
1,"0     22.480103
1     23.317782
2     25.085838
3     25.760835
4     32.905625
5     34.743558
6     34.720457
7     26.698511
8     27.599808
9     29.299844
10    29.770494
11    36.574046
12    37.937454
13    37.314245
Name: yhat, dtype: float64",12.0,0.515,307244.0
2,"0     20.794412
1     21.507704
2     23.175353
3     23.181755
4     27.996036
5     30.407678
6     33.036493
7     24.328042
8     24.902325
9     26.326220
10    25.983820
11    30.347017
12    32.211109
13    34.204659
Name: yhat, dtype: float64",5.0,0.192,307248.0
3,"0     15.572006
1     16.559332
2     18.519547
3     19.371709
4     24.445291
5     26.778351
6     29.554417
7     19.663178
8     20.494061
9     22.191362
10    22.674299
11    27.275597
12    29.039612
13    31.159079
Name: yhat, dtype: float64",8.0,0.366,320264.0
4,"0      58.306539
1      58.109338
2      59.157337
3      58.872091
4      71.674423
5      89.710626
6     106.363500
7      58.996141
8      60.046424
9      62.192173
10     62.806317
11     76.267171
12     94.685895
13    111.418596
Name: yhat, dtype: float64",25.0,0.315,328165.0
5,"0     38.452765
1     38.073726
2     38.694343
3     38.893836
4     46.836083
5     58.247797
6     70.849125
7     40.427638
8     40.493212
9     41.441178
10    41.831132
11    49.811591
12    61.098651
13    73.406927
Name: yhat, dtype: float64",12.0,0.237,349920.0
6,"0     22.446946
1     23.606373
2     24.432847
3     24.782087
4     29.943289
5     32.737694
6     34.900018
7     25.095925
8     26.181224
9     26.852387
10    26.961785
11    31.797825
12    34.183608
13    35.858347
Name: yhat, dtype: float64",7.0,0.303,349924.0
7,"0     19.632656
1     20.128092
2     21.535745
3     22.407304
4     28.379847
5     28.828640
6     31.870273
7     23.747381
8     24.279680
9     25.606890
10    26.276258
11    31.923923
12    31.927773
13    34.410538
Name: yhat, dtype: float64",6.0,0.223,349952.0
8,"0     28.589860
1     29.271320
2     30.781039
3     32.315961
4     38.946185
5     41.313708
6     44.277430
7     32.158237
8     32.846367
9     34.251794
10    35.566573
11    41.859435
12    43.774623
13    46.176888
Name: yhat, dtype: float64",7.0,0.19,349958.0
9,"0     11.383772
1     11.702648
2     12.668403
3     12.873916
4     17.157727
5     23.297624
6     26.576770
7     13.323808
8     13.852229
9     14.961220
10    15.234775
11    19.504800
12    25.544926
13    28.636774
Name: yhat, dtype: float64",4.0,0.221,349962.0
10,"0     25.570485
1     25.796440
2     27.057428
3     27.990731
4     34.023901
5     37.015856
6     39.870912
7     28.617168
8     28.957850
9     30.232169
10    31.069720
11    36.893611
12    39.561737
13    41.980874
Name: yhat, dtype: float64",8.0,0.271,349972.0
11,"0      7.342592
1      8.389082
2      9.557125
3     10.113491
4     13.269794
5     15.176160
6     15.848396
7     10.637155
8     11.760696
9     12.922041
10    13.385016
11    16.360658
12    18.000910
13    18.325770
Name: yhat, dtype: float64",4.0,0.316,349978.0
12,"0     28.756695
1     30.116370
2     31.802696
3     32.869494
4     40.113530
5     42.817443
6     47.874847
7     32.665301
8     34.097997
9     35.724620
10    36.590924
11    43.489922
12    45.704993
13    50.135024
Name: yhat, dtype: float64",8.0,0.218,349980.0
13,"0     16.283184
1     17.057560
2     18.259355
3     18.616142
4     21.182699
5     23.243620
6     24.926271
7     18.555172
8     19.213980
9     20.241452
10    20.364849
11    22.640324
12    24.355535
13    25.642561
Name: yhat, dtype: float64",7.0,0.417,349998.0
14,"0     22.528406
1     23.606659
2     24.352445
3     24.486744
4     26.726145
5     29.059750
6     31.495136
7     24.738463
8     25.615693
9     26.115813
10    25.960514
11    27.868274
12    29.831245
13    31.861178
Name: yhat, dtype: float64",6.0,0.236,350016.0
15,"0     31.799114
1     30.603715
2     32.020414
3     31.941330
4     41.562752
5     52.124827
6     63.448772
7     32.630730
8     32.161818
9     34.199137
10    34.610102
11    44.570627
12    55.305402
13    66.625545
Name: yhat, dtype: float64",24.0,0.353,350018.0
16,"0     11.864799
1     12.351017
2     12.555210
3     12.944258
4     14.778043
5     16.145570
6     16.439865
7     13.365606
8     13.759486
9     13.841047
10    14.076965
11    15.727762
12    16.883952
13    16.940928
Name: yhat, dtype: float64",3.0,0.207,350026.0
17,"0     11.543056
1     11.865068
2     12.360051
3     13.516359
4     15.118363
5     17.530593
6     17.918779
7     13.599551
8     14.002164
9     14.532949
10    15.675990
11    17.212666
12    19.505911
13    19.721319
Name: yhat, dtype: float64",5.0,0.459,350028.0
18,"0     13.167546
1     12.578525
2     12.094816
3     12.722229
4     17.135654
5     22.951282
6     25.312523
7     12.463521
8     12.266785
9     12.150779
10    13.109252
11    17.806348
12    23.849134
13    26.373787
Name: yhat, dtype: float64",4.0,0.302,350040.0
19,"0      8.903956
1      9.457364
2      9.892112
3     10.708880
4     12.391860
5     13.338867
6     13.460693
7      9.545886
8     10.167502
9     10.649321
10    11.488581
11    13.166807
12    14.080020
13    14.138159
Name: yhat, dtype: float64",3.0,0.283,350046.0
20,"0     34.362580
1     33.791420
2     35.385296
3     35.915378
4     37.764732
5     38.460940
6     43.235148
7     35.984657
8     34.763888
9     35.693807
10    35.554093
11    36.736479
12    36.777231
13    40.916055
Name: yhat, dtype: float64",15.0,0.521,350054.0
21,"0      7.875907
1      8.116791
2      8.928038
3      8.360983
4      9.620447
5     10.032858
6     10.622402
7      8.740182
8      9.000064
9      9.806940
10     9.210715
11    10.415453
12    10.747527
13    11.231768
Name: yhat, dtype: float64",3.0,0.324,350056.0
22,"0     31.071598
1     31.316982
2     32.201869
3     33.202975
4     36.799138
5     39.393890
6     40.963634
7     33.758737
8     33.987753
9     34.773346
10    35.589108
11    38.913321
12    41.151587
13    42.284996
Name: yhat, dtype: float64",9.0,0.299,350060.0
23,"0      8.141551
1      8.747907
2      8.988709
3      9.328894
4     10.472873
5     10.755832
6     12.098221
7      9.133468
8      9.691739
9      9.867657
10    10.125539
11    11.169660
12    11.335582
13    12.544649
Name: yhat, dtype: float64",5.0,0.529,354468.0
24,"0     11.710165
1     12.265684
2     13.114479
3     13.716113
4     15.779607
5     16.288686
6     16.604622
7     13.302664
8     13.837737
9     14.630731
10    15.138831
11    17.069711
12    17.406858
13    17.512449
Name: yhat, dtype: float64",6.0,0.525,387240.0
25,"0      8.815435
1      9.234265
2      9.461635
3      9.689548
4     10.590178
5     11.880219
6     12.183848
7      9.275859
8      9.661388
9      9.839242
10    10.000047
11    10.815149
12    12.001015
13    12.182226
Name: yhat, dtype: float64",4.0,0.396,412585.0
26,"0      9.605989
1      9.831524
2     10.648877
3     10.820820
4     13.278737
5     13.756415
6     14.872757
7      9.436566
8      9.558991
9     10.246130
10    10.260963
11    12.536359
12    12.808850
13    13.701301
Name: yhat, dtype: float64",3.0,0.234,441997.0
27,"0     21.443261
1     22.114694
2     23.310903
3     22.776824
4     26.596721
5     28.377731
6     29.543453
7     21.339476
8     21.750807
9     22.648155
10    21.777934
11    25.227460
12    26.608466
13    27.350610
Name: yhat, dtype: float64",10.0,0.318,452387.0
28,"0     12.603243
1     13.149914
2     13.416275
3     13.795644
4     18.383614
5     16.830250
6     16.956685
7     12.973691
8     13.130014
9     12.977026
10    12.913421
11    17.041168
12    15.017591
13    14.671798
Name: yhat, dtype: float64",7.0,0.521,461349.0
29,"0      9.554070
1      9.370734
2      9.840123
3      9.497014
4     10.768156
5     10.839055
6     11.193733
7      8.743982
8      8.470170
9      8.849415
10     8.416226
11     9.597296
12     9.578321
13     9.843772
Name: yhat, dtype: float64",4.0,0.48,464495.0
30,"0     14.169656
1     14.245500
2     14.895097
3     14.809813
4     16.087359
5     17.908112
6     18.834801
7     13.604261
8     13.466765
9     13.906606
10    13.617020
11    14.697688
12    16.331045
13    17.081941
Name: yhat, dtype: float64",4.0,0.241,471477.0
