,fb_fc,fb_mae_OOS,fb_mape_OOS,store_id
0,"0     26.144117
1     28.361518
2     29.890867
3     30.649785
4     40.201068
5     43.720479
6     46.015449
7     30.844748
8     33.137939
9     34.580303
10    34.102813
11    44.111986
12    47.973872
13    48.617456
Name: yhat, dtype: float64",8.0,0.237,307222.0
1,"0     19.323917
1     20.119968
2     21.887055
3     22.479623
4     29.963855
5     31.735439
6     31.634355
7     23.110980
8     23.995156
9     25.721253
10    26.321002
11    33.123731
12    34.541991
13    32.969085
Name: yhat, dtype: float64",9.0,0.419,307244.0
2,"0     18.271414
1     18.908535
2     20.414100
3     20.348650
4     24.949658
5     27.106496
6     29.526804
7     21.277374
8     21.793785
9     23.084568
10    22.877604
11    26.481600
12    29.255781
13    29.880202
Name: yhat, dtype: float64",5.0,0.167,307248.0
3,"0     14.886525
1     15.807917
2     17.667237
3     18.446089
4     23.497051
5     25.604140
6     28.267064
7     18.444086
8     19.219786
9     20.835478
10    19.987915
11    25.688208
12    27.874014
13    29.586957
Name: yhat, dtype: float64",7.0,0.343,320264.0
4,"0      52.759176
1      52.127309
2      52.936001
3      52.481171
4      64.792690
5      83.163993
6     100.086029
7      51.289247
8      51.932254
9      53.891286
10     52.645989
11     69.388649
12     89.701906
13    100.154577
Name: yhat, dtype: float64",23.0,0.27,328165.0
5,"0     33.328762
1     32.679317
2     33.090492
3     33.170753
4     40.690726
5     52.233295
6     64.870651
7     33.767085
8     33.577553
9     34.349152
10    34.214839
11    42.927951
12    58.953124
13    65.370707
Name: yhat, dtype: float64",12.0,0.214,349920.0
6,"0     21.160705
1     22.168418
2     22.832373
3     23.030778
4     27.960040
5     30.567346
6     32.557182
7     22.707270
8     23.663424
9     24.211017
10    24.278925
11    29.374711
12    32.089429
13    32.005584
Name: yhat, dtype: float64",6.0,0.249,349924.0
7,"0     20.171852
1     20.616331
2     21.991938
3     22.863990
4     28.873792
5     29.166305
6     32.208072
7     23.973584
8     24.443102
9     25.732653
10    26.205031
11    32.655337
12    32.163086
13    34.226231
Name: yhat, dtype: float64",6.0,0.231,349952.0
8,"0     22.829589
1     23.422719
2     24.801813
3     26.180297
4     32.935592
5     35.093082
6     37.986279
7     25.540454
8     26.214916
9     27.574856
10    29.048733
11    35.951256
12    38.984695
13    39.365413
Name: yhat, dtype: float64",8.0,0.223,349958.0
9,"0     10.787764
1     11.027362
2     11.917189
3     12.056309
4     16.225246
5     22.265659
6     25.494635
7     12.207748
8     12.666217
9     13.715592
10    13.445051
11    18.579222
12    24.652274
13    26.779995
Name: yhat, dtype: float64",3.0,0.202,349962.0
10,"0     24.294480
1     24.455678
2     25.681899
3     26.597802
4     32.771689
5     35.663367
6     38.554777
7     26.965399
8     27.250316
9     28.503690
10    28.843162
11    34.895419
12    38.042823
13    39.897436
Name: yhat, dtype: float64",8.0,0.266,349972.0
11,"0      8.044143
1      9.076896
2     10.219648
3     10.746695
4     13.920139
5     15.754834
6     16.399640
7     11.034645
8     12.149655
9     13.295063
10    13.514166
11    16.283473
12    18.686394
13    18.997867
Name: yhat, dtype: float64",4.0,0.32,349978.0
12,"0     26.131858
1     27.404042
2     28.947391
3     29.911413
4     36.772108
5     39.159512
6     43.895505
7     29.540594
8     30.891469
9     32.392204
10    33.197041
11    40.198593
12    43.092463
13    46.489684
Name: yhat, dtype: float64",8.0,0.219,349980.0
13,"0     14.888798
1     15.601828
2     16.686908
3     16.958091
4     19.401509
5     21.267703
6     22.813321
7     16.687889
8     17.301756
9     18.237516
10    18.736753
11    20.747353
12    22.994048
13    23.128496
Name: yhat, dtype: float64",7.0,0.408,349998.0
14,"0     17.810357
1     18.421858
2     18.807522
3     18.598500
4     20.468395
5     22.262964
6     24.263919
7     17.020608
8     17.487788
9     17.733323
10    21.263344
11    26.188489
12    34.085816
13    29.252168
Name: yhat, dtype: float64",7.0,0.288,350016.0
15,"0     23.918663
1     21.898999
2     22.347742
3     21.633278
4     29.145579
5     39.633212
6     49.901591
7     18.897447
8     17.644996
9     18.843852
10    19.175608
11    31.984023
12    63.368009
13    51.120339
Name: yhat, dtype: float64",34.0,0.653,350018.0
16,"0     11.012552
1     11.478858
2     11.654486
3     12.020039
4     13.946500
5     15.334290
6     15.602494
7     12.305091
8     12.685615
9     12.747688
10    13.319980
11    14.788542
12    16.167496
13    15.997354
Name: yhat, dtype: float64",3.0,0.225,350026.0
17,"0     10.079662
1     10.368483
2     10.809611
3     11.893336
4     13.448235
5     15.754312
6     16.081577
7     11.822034
8     12.200074
9     12.690232
10    13.784998
11    15.369864
12    17.915321
13    17.983630
Name: yhat, dtype: float64",4.0,0.372,350028.0
18,"0     12.250559
1     11.512498
2     10.922592
3     11.454329
4     15.770648
5     21.656977
6     23.971906
7     10.871055
8     10.527597
9     10.315857
10    11.550846
11    15.090112
12    22.617185
13    23.390820
Name: yhat, dtype: float64",4.0,0.285,350040.0
19,"0      8.783764
1      9.338233
2      9.762070
3     10.578436
4     12.292143
5     13.212575
6     13.315696
7      9.369176
8      9.993804
9     10.467429
10    11.604236
11    12.878540
12    14.431440
13    14.284372
Name: yhat, dtype: float64",3.0,0.272,350046.0
20,"0     31.428437
1     30.824948
2     32.280646
3     32.755510
4     34.646947
5     35.177926
6     39.761877
7     32.668387
8     31.441263
9     32.264866
10    31.990520
11    33.652861
12    34.469386
13    37.716236
Name: yhat, dtype: float64",13.0,0.46,350054.0
21,"0     6.251981
1     6.465345
2     7.154067
3     6.631427
4     7.805028
5     8.110746
6     8.631338
7     6.947768
8     7.191459
9     7.890582
10    7.074624
11    8.600504
12    8.892572
13    9.168992
Name: yhat, dtype: float64",3.0,0.307,350056.0
22,"0     29.747642
1     29.926224
2     30.745347
3     31.690756
4     35.356221
5     37.946708
6     39.484049
7     31.985759
8     32.162101
9     32.901086
10    33.276872
11    36.803181
12    40.720395
13    40.199436
Name: yhat, dtype: float64",8.0,0.273,350060.0
23,"0      7.715365
1      8.284666
2      8.471430
3      8.748840
4      9.906184
5     10.141081
6     11.431060
7      8.487174
8      9.013590
9      9.144001
10     9.028535
11    10.320622
12    10.430917
13    11.758525
Name: yhat, dtype: float64",4.0,0.511,354468.0
24,"0     10.208752
1     10.747834
2     11.382729
3     11.895766
4     13.776811
5     14.172452
6     14.523999
7     11.002585
8     11.553573
9     12.177642
10    15.376680
11    17.154500
12    15.970762
13    16.675522
Name: yhat, dtype: float64",5.0,0.446,387240.0
25,"0      6.935695
1      7.323813
2      7.256103
3      7.301905
4      8.064945
5      9.222813
6      9.287505
7      6.089874
8      6.462177
9      6.384603
10     9.665202
11     8.117692
12    13.240844
13    10.997693
Name: yhat, dtype: float64",4.0,0.409,412585.0
26,"0      9.420383
1      9.614236
2     10.397412
3     10.562807
4     12.922439
5     13.385532
6     14.482294
7      8.993020
8      9.101994
9      9.777456
10     9.963312
11    12.260316
12    12.393786
13    12.402068
Name: yhat, dtype: float64",3.0,0.244,441997.0
27,"0     18.444931
1     19.080122
2     20.332334
3     19.658038
4     23.869849
5     25.916206
6     27.133149
7     17.596590
8     17.996061
9     18.979869
10    18.436179
11    20.696052
12    24.956637
13    22.953174
Name: yhat, dtype: float64",12.0,0.4,452387.0
28,"0     11.428753
1     11.916563
2     12.127044
3     12.420148
4     16.865739
5     15.277750
6     15.350990
7     11.417098
8     11.554987
9     11.392807
10    10.164699
11    15.198310
12    13.365083
13    11.772489
Name: yhat, dtype: float64",6.0,0.473,461349.0
29,"0      9.123258
1      8.892651
2      9.385893
3      8.948725
4     10.425678
5     10.482107
6     10.868075
7      7.946432
8      7.643351
9      8.069669
10     8.025731
11     9.014926
12     9.120416
13     9.293826
Name: yhat, dtype: float64",4.0,0.474,464495.0
30,"0     13.062429
1     13.153713
2     13.680658
3     13.658207
4     14.672143
5     16.142513
6     16.885848
7     12.739359
8     12.632758
9     12.958546
10    12.591687
11    13.310203
12    15.461406
13    15.361530
Name: yhat, dtype: float64",5.0,0.264,471477.0
31,"0     1.737679
1     2.078313
2     2.723445
3     3.255333
4     4.983321
5     5.617679
6     5.978072
7     2.755722
8     3.217751
9     3.961079
10    4.446946
11    6.010194
12    6.751221
13    7.195352
Name: yhat, dtype: float64",3.0,0.674,476061.0
32,"0     19.089337
1     18.654708
2     19.371881
3     19.162811
4     22.932230
5     24.514839
6     26.270659
7     18.470874
8     17.998751
9     18.662907
10    25.190559
11    28.330670
12    35.430006
13    29.917490
Name: yhat, dtype: float64",8.0,0.286,480733.0
33,"0     27.438896
1     26.989959
2     27.698982
3     26.745829
4     28.945848
5     33.348049
6     36.464909
7     19.737052
8     19.076927
9     19.652255
10    31.635817
11    31.935524
12    44.010197
13    33.314495
Name: yhat, dtype: float64",18.0,0.399,528854.0
