,RW_mae_OOS,RW_mape_OOS,arima_mae_IS,arima_mae_OOS,arima_mape_IS,arima_mape_OOS,fc_IS,fc_OOS,fc_RW,store_id
0,11.0,0.322,7.0,8.0,0.424,0.327,"date
2017-08-07    -3.357248
2017-08-08    -4.226739
2017-08-09     8.063363
2017-08-10     3.691173
2017-08-11     4.579328
                ...    
2021-01-13    17.955182
2021-01-14    32.413603
2021-01-15    25.475066
2021-01-16    26.817062
2021-01-17    45.415258
Freq: D, Name: predicted_mean, Length: 1260, dtype: float64","date
2021-01-18     4.933301
2021-01-19    15.775624
2021-01-20    12.783472
2021-01-21    27.344701
2021-01-22    36.171434
2021-01-23    48.538836
2021-01-24    51.123341
2021-01-25    18.620909
2021-01-26    23.760674
2021-01-27    27.765197
2021-01-28    40.172644
2021-01-29    36.273046
2021-01-30    46.338123
2021-01-31    54.118714
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    26.073581
2021-01-19    26.073581
2021-01-20    26.073581
2021-01-21    26.073581
2021-01-22    26.073581
2021-01-23    26.073581
2021-01-24    26.073581
2021-01-25    26.073581
2021-01-26    26.073581
2021-01-27    26.073581
2021-01-28    26.073581
2021-01-29    26.073581
2021-01-30    26.073581
2021-01-31    26.073581
Freq: D, Name: RW_forecast, dtype: float64",307222.0
1,13.0,0.555,6.0,4.0,0.42,0.245,"date
2017-08-10    -2.824570
2017-08-11    -3.580341
2017-08-12    -3.573168
2017-08-13    -3.564444
2017-08-14    -3.553957
                ...    
2021-01-13    20.622278
2021-01-14    24.803113
2021-01-15    22.783866
2021-01-16    27.114300
2021-01-17    33.996962
Freq: D, Name: predicted_mean, Length: 1257, dtype: float64","date
2021-01-18     8.590444
2021-01-19    19.728662
2021-01-20    18.179882
2021-01-21    16.358194
2021-01-22    23.206241
2021-01-23    22.341730
2021-01-24    32.105491
2021-01-25    10.157244
2021-01-26    21.187601
2021-01-27    20.978588
2021-01-28    20.705692
2021-01-29    26.225414
2021-01-30    25.770363
2021-01-31    44.709040
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    30.4334
2021-01-19    30.4334
2021-01-20    30.4334
2021-01-21    30.4334
2021-01-22    30.4334
2021-01-23    30.4334
2021-01-24    30.4334
2021-01-25    30.4334
2021-01-26    30.4334
2021-01-27    30.4334
2021-01-28    30.4334
2021-01-29    30.4334
2021-01-30    30.4334
2021-01-31    30.4334
Freq: D, Name: RW_forecast, dtype: float64",307244.0
2,9.0,0.334,5.0,4.0,0.418,0.167,"date
2017-08-17     3.308851
2017-08-18     3.281692
2017-08-19     3.955890
2017-08-20    -2.382127
2017-08-21    -2.408052
                ...    
2021-01-13    22.723518
2021-01-14    20.580070
2021-01-15     9.792266
2021-01-16    21.817378
2021-01-17    36.986435
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    10.280880
2021-01-19    24.238886
2021-01-20    18.731837
2021-01-21    16.002444
2021-01-22    16.205224
2021-01-23    27.176587
2021-01-24    36.191809
2021-01-25    16.129815
2021-01-26    25.627654
2021-01-27    20.062648
2021-01-28    21.982265
2021-01-29    18.907297
2021-01-30    30.093254
2021-01-31    43.322085
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    29.9636
2021-01-19    29.9636
2021-01-20    29.9636
2021-01-21    29.9636
2021-01-22    29.9636
2021-01-23    29.9636
2021-01-24    29.9636
2021-01-25    29.9636
2021-01-26    29.9636
2021-01-27    29.9636
2021-01-28    29.9636
2021-01-29    29.9636
2021-01-30    29.9636
2021-01-31    29.9636
Freq: D, Name: RW_forecast, dtype: float64",307248.0
3,11.0,0.497,5.0,6.0,0.473,0.365,"date
2017-08-25     6.386919
2017-08-26    -2.765672
2017-08-27    15.588909
2017-08-28     8.404755
2017-08-29     1.878567
                ...    
2021-01-13    11.186994
2021-01-14    11.517190
2021-01-15     6.433766
2021-01-16    12.193370
2021-01-17    20.482578
Freq: D, Name: predicted_mean, Length: 1242, dtype: float64","date
2021-01-18     7.054057
2021-01-19     6.774040
2021-01-20     9.723644
2021-01-21     8.088488
2021-01-22    19.680250
2021-01-23    30.590986
2021-01-24    39.678735
2021-01-25     8.174127
2021-01-26     7.332445
2021-01-27     8.965516
2021-01-28    14.177740
2021-01-29     8.371936
2021-01-30    21.934537
2021-01-31    26.582553
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    21.2306
2021-01-19    21.2306
2021-01-20    21.2306
2021-01-21    21.2306
2021-01-22    21.2306
2021-01-23    21.2306
2021-01-24    21.2306
2021-01-25    21.2306
2021-01-26    21.2306
2021-01-27    21.2306
2021-01-28    21.2306
2021-01-29    21.2306
2021-01-30    21.2306
2021-01-31    21.2306
Freq: D, Name: RW_forecast, dtype: float64",320264.0
4,104.0,0.9,14.0,18.0,0.506,0.226,"date
2017-08-09      0.775270
2017-08-10     -1.084111
2017-08-11      7.981629
2017-08-12     24.609354
2017-08-13      0.908343
                 ...    
2021-01-13     49.570022
2021-01-14     45.093117
2021-01-15    124.885343
2021-01-16     80.996773
2021-01-17    160.590565
Freq: D, Name: predicted_mean, Length: 1258, dtype: float64","date
2021-01-18     51.380774
2021-01-19     48.739332
2021-01-20     57.823620
2021-01-21     47.790534
2021-01-22    125.214301
2021-01-23    150.051070
2021-01-24    209.747157
2021-01-25     41.923361
2021-01-26     53.877843
2021-01-27     60.612849
2021-01-28     55.099430
2021-01-29     90.420998
2021-01-30    138.618039
2021-01-31    199.191820
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    177.126951
2021-01-19    177.126951
2021-01-20    177.126951
2021-01-21    177.126951
2021-01-22    177.126951
2021-01-23    177.126951
2021-01-24    177.126951
2021-01-25    177.126951
2021-01-26    177.126951
2021-01-27    177.126951
2021-01-28    177.126951
2021-01-29    177.126951
2021-01-30    177.126951
2021-01-31    177.126951
Freq: D, Name: RW_forecast, dtype: float64",328165.0
5,44.0,0.692,9.0,8.0,0.46,0.186,"date
2017-08-18     -3.462301
2017-08-19     -3.536781
2017-08-20     -3.610033
2017-08-21     -3.681578
2017-08-22     -3.751192
                 ...    
2021-01-13     27.680036
2021-01-14     42.396722
2021-01-15     73.729180
2021-01-16     42.185840
2021-01-17    103.403282
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18     18.106260
2021-01-19     26.555248
2021-01-20     33.814110
2021-01-21     40.750329
2021-01-22     77.798031
2021-01-23     79.625187
2021-01-24    109.353209
2021-01-25     25.725063
2021-01-26     30.888274
2021-01-27     46.018185
2021-01-28     41.379036
2021-01-29     49.449671
2021-01-30     76.144060
2021-01-31    106.455369
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    87.2592
2021-01-19    87.2592
2021-01-20    87.2592
2021-01-21    87.2592
2021-01-22    87.2592
2021-01-23    87.2592
2021-01-24    87.2592
2021-01-25    87.2592
2021-01-26    87.2592
2021-01-27    87.2592
2021-01-28    87.2592
2021-01-29    87.2592
2021-01-30    87.2592
2021-01-31    87.2592
Freq: D, Name: RW_forecast, dtype: float64",349920.0
6,29.0,0.805,5.0,6.0,0.466,0.229,"date
2017-08-17     0.686070
2017-08-18    -1.646422
2017-08-19    -1.668976
2017-08-20    -1.690930
2017-08-21    -1.712240
                ...    
2021-01-13    16.639461
2021-01-14    27.784420
2021-01-15    24.805373
2021-01-16    49.504800
2021-01-17    31.586556
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    24.311039
2021-01-19    21.742167
2021-01-20    20.935959
2021-01-21    18.548036
2021-01-22    32.238884
2021-01-23    26.264327
2021-01-24    47.771260
2021-01-25    25.413312
2021-01-26    27.197307
2021-01-27    23.456708
2021-01-28    23.127086
2021-01-29    33.087185
2021-01-30    24.632414
2021-01-31    51.976493
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    51.9285
2021-01-19    51.9285
2021-01-20    51.9285
2021-01-21    51.9285
2021-01-22    51.9285
2021-01-23    51.9285
2021-01-24    51.9285
2021-01-25    51.9285
2021-01-26    51.9285
2021-01-27    51.9285
2021-01-28    51.9285
2021-01-29    51.9285
2021-01-30    51.9285
2021-01-31    51.9285
Freq: D, Name: RW_forecast, dtype: float64",349924.0
7,28.0,0.729,6.0,5.0,0.466,0.203,"date
2017-08-23    -2.372779
2017-08-24    -3.162097
2017-08-25     7.845066
2017-08-26     3.126736
2017-08-27    20.427723
                ...    
2021-01-13    13.948254
2021-01-14    27.794439
2021-01-15    21.901865
2021-01-16    18.733730
2021-01-17    35.463756
Freq: D, Name: predicted_mean, Length: 1244, dtype: float64","date
2021-01-18    31.918945
2021-01-19    29.484244
2021-01-20    21.337182
2021-01-21    20.561850
2021-01-22    29.980791
2021-01-23    24.778552
2021-01-24    38.687380
2021-01-25    28.554400
2021-01-26    36.887146
2021-01-27    22.282288
2021-01-28    23.938259
2021-01-29    30.141468
2021-01-30    31.156455
2021-01-31    52.633783
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    53.3448
2021-01-19    53.3448
2021-01-20    53.3448
2021-01-21    53.3448
2021-01-22    53.3448
2021-01-23    53.3448
2021-01-24    53.3448
2021-01-25    53.3448
2021-01-26    53.3448
2021-01-27    53.3448
2021-01-28    53.3448
2021-01-29    53.3448
2021-01-30    53.3448
2021-01-31    53.3448
Freq: D, Name: RW_forecast, dtype: float64",349952.0
8,11.0,0.282,7.0,6.0,0.431,0.155,"date
2017-08-17     3.784433
2017-08-18     1.056409
2017-08-19     0.126002
2017-08-20    -2.601825
2017-08-21    -2.633784
                ...    
2021-01-13    19.307486
2021-01-14    37.847514
2021-01-15    32.353502
2021-01-16    24.418456
2021-01-17    45.020717
Freq: D, Name: predicted_mean, Length: 1250, dtype: float64","date
2021-01-18    20.555203
2021-01-19    22.632544
2021-01-20    35.161887
2021-01-21    26.345669
2021-01-22    34.256782
2021-01-23    48.988688
2021-01-24    61.344140
2021-01-25    30.086040
2021-01-26    30.141345
2021-01-27    40.699884
2021-01-28    35.300360
2021-01-29    43.153325
2021-01-30    50.800996
2021-01-31    72.017720
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    39.6078
2021-01-19    39.6078
2021-01-20    39.6078
2021-01-21    39.6078
2021-01-22    39.6078
2021-01-23    39.6078
2021-01-24    39.6078
2021-01-25    39.6078
2021-01-26    39.6078
2021-01-27    39.6078
2021-01-28    39.6078
2021-01-29    39.6078
2021-01-30    39.6078
2021-01-31    39.6078
Freq: D, Name: RW_forecast, dtype: float64",349958.0
9,15.0,0.697,5.0,4.0,0.501,0.237,"date
2017-08-18     2.126370
2017-08-19     0.538987
2017-08-20    -1.832821
2017-08-21    -1.846522
2017-08-22    -0.287260
                ...    
2021-01-13    12.393744
2021-01-14     4.192016
2021-01-15    19.642673
2021-01-16    19.838142
2021-01-17    21.503406
Freq: D, Name: predicted_mean, Length: 1249, dtype: float64","date
2021-01-18    14.710689
2021-01-19     8.719784
2021-01-20    10.303768
2021-01-21     9.195305
2021-01-22    15.589884
2021-01-23    35.190049
2021-01-24    28.790699
2021-01-25    13.161155
2021-01-26    10.436236
2021-01-27    12.543914
2021-01-28    12.869238
2021-01-29    17.400416
2021-01-30    28.327499
2021-01-31    32.522936
Freq: D, Name: forecast, dtype: float64","date
2021-01-18    30.427803
2021-01-19    30.427803
2021-01-20    30.427803
2021-01-21    30.427803
2021-01-22    30.427803
2021-01-23    30.427803
2021-01-24    30.427803
2021-01-25    30.427803
2021-01-26    30.427803
2021-01-27    30.427803
2021-01-28    30.427803
2021-01-29    30.427803
2021-01-30    30.427803
2021-01-31    30.427803
Freq: D, Name: RW_forecast, dtype: float64",349962.0
